RiskPerformance;ExternalRiskEstimate;NetFractionRevolvingBurden;AverageMInFile;MSinceOldestTradeOpen;PercentTradesWBalance;PercentInstallTrades;NumSatisfactoryTrades;NumTotalTrades;PercentTradesNeverDelq;MSinceMostRecentInqexcl7days
1;55;33;84;144;69;43;20;23;83;0
1;61;0;41;58;0;67;2;7;100;0
1;67;53;24;66;86;44;9;9;100;0
1;66;72;73;169;91;57;28;30;93;0
1;81;51;132;333;80;25;12;12;100;0
1;59;62;78;137;94;47;31;32;91;0
0;54;89;37;88;100;58;25;26;92;0
0;68;28;65;148;40;44;17;18;83;0
1;59;68;138;324;90;26;24;27;85;0
1;61;31;36;79;62;26;19;19;95;0
0;82;15;47;96;67;31;16;16;100;0
1;50;84;76;311;88;20;12;15;60;0
1;74;18;66;274;67;39;23;28;100;0
0;69;13;117;256;67;8;11;14;100;0
1;63;71;77;184;82;36;34;36;97;0
1;61;62;68;256;86;33;14;15;87;0
1;62;25;59;131;70;58;16;20;79;0
1;89;3;147;244;50;10;10;10;100;0
1;65;31;26;43;75;25;15;17;100;0
1;57;44;73;147;56;48;27;;97;0
1;72;49;83;365;73;41;22;;100;0
0;72;43;53;84;64;27;29;;100;0
1;65;14;45;88;50;20;20;;85;0
1;64;24;55;91;82;50;19;;90;0
1;58;63;79;265;91;48;25;;93;0
1;58;79;72;150;91;45;18;;55;0
1;79;28;94;162;57;29;17;;100;0
1;66;19;107;284;63;53;15;;82;0
1;69;50;157;476;89;36;38;;100;0
0;71;5;62;179;22;33;15;;83;0
1;54;62;49;114;100;27;9;;64;0
1;68;15;44;133;50;67;39;;100;0
0;75;53;66;164;55;21;19;;100;0
1;67;31;37;118;67;42;23;;88;0
0;88;1;92;153;25;7;13;;100;0
1;51;79;96;186;100;56;22;;84;0
1;70;51;57;127;67;13;23;;96;0
1;65;52;37;116;56;13;14;;93;0
1;78;7;13;21;75;64;11;;100;0
0;86;0;90;318;50;62;13;;100;0
0;90;1;73;230;71;62;11;;100;0
1;76;37;74;293;88;38;33;;100;0
1;70;42;20;37;50;20;19;20;100;0
1;73;79;100;255;80;23;40;44;100;0
1;72;42;95;209;82;38;41;42;100;0
0;83;22;118;398;69;31;29;29;100;0
0;87;12;111;326;56;40;26;30;100;0
1;55;97;59;114;100;53;19;19;89;0
1;65;63;97;478;60;32;44;47;89;0
1;78;57;91;197;67;41;15;17;100;0
0;79;20;77;243;56;36;35;39;97;0
1;75;88;92;183;93;27;21;22;100;0
1;70;74;96;176;86;30;20;20;95;0
1;78;10;74;;67;49;42;43;98;0
1;75;57;124;;100;39;22;23;100;0
1;76;32;54;;75;40;14;15;100;0
1;72;60;62;;100;18;10;11;100;0
1;55;79;69;;88;27;12;22;50;0
1;74;45;123;;93;25;24;24;88;0
1;63;37;62;;70;29;11;14;79;0
1;81;24;66;;78;62;34;34;100;0
0;81;0;78;;80;83;18;18;100;0
1;59;63;79;;86;50;38;43;76;0
1;66;36;81;;47;39;43;44;98;0
1;72;66;60;;78;52;21;23;96;0
0;73;27;94;;72;18;38;39;100;0
1;86;0;122;;50;72;17;18;100;0
